Page ID,Page name,Disclaimer,Amount spent (BRL)
100434535890185,A vida é Bela,These ads ran without a disclaimer,≤100
2391538784456538,Michael brustulin,Michael Brustulin,≤100
713490015436946,Luciano Diniz,Luciano Antonio Diniz Caldas,≤100
153278282047297,Portal Vade News,Eduardo Fuccia,≤100
413691015413596,Vexpert,These ads ran without a disclaimer,≤100
108621394094615,Doutor Hérnia Unidade Apucarana,These ads ran without a disclaimer,≤100
1399579433701765,Fred Ferreira,Frederico Menezes De Moura Sobrinho Ferreira,≤100
1420022301592431,Jaqueline Cassol,Dirlaine Jaqueline Cassol,≤100
108890832518409,Idest,Idest Comunicações Ltda,≤100
1573953749574398,Chiara Ranieri,Chiara Ranieri  Bassetto,≤100
214665511883192,Aldeias Infantis SOS Brasil,Aldeias Infantis SOS,≤100
92227023652,Governo do Estado de São Paulo,Governo do Estado de São Paulo,≤100
106194845157726,MDBmulher.MS,Cassia Teixeira Carvalho Antunes,≤100
546862722030959,Dary Pagung,Dary Pagung,≤100
105131108517896,Vereador Tiago Moraes,Joel Costa,≤100
143668009023877,Itaú Social,Fundação Itaú Social,≤100
217423271714827,Elvino Bohn Gass,Elvino Gass,≤100
312637705484690,Alair Corrêa,Alair Correa,≤100
1731273480489161,Brenno Queiroga,Brenno Oliveira Queiroga De Morais,≤100
609012179197395,Asbraer,Asbraer,≤100
104636951364733,Prof. Fabiano Kenji - PT Tocantins,Fabiano Nohama,≤100
402554383123636,Professor Allan Kardec,Allan Kardec Pinto Acosta Benitez,≤100
815039985305536,Cabo Junio Amaral,Geraldo Junio do Amaral,≤100
1284175081639357,Prefeitura Municipal de Perdigão,PREFEITURA DE PERDIGÃO,≤100
1614001982254142,Grupo Orzil,These ads ran without a disclaimer,≤100
265418896861350,A Tribuna MT,A Tribuna MT,≤100
301294980001013,Diogo Moraes,Diogo Moraes,≤100
1734014950201263,Casas Bahia,These ads ran without a disclaimer,≤100
865232070270799,Capitão Alberto Neto,Capitão Alberto Neto,≤100
205818079902558,Vereador Rogerinho,Mario Moura,≤100
102243732048773,BaraúnaMangeon,Moacir Barreto Filho,≤100
356204831077731,Prefeitura de Francisco Beltrão,Maykon Justiniano,≤100
104901368008698,edimarvereadorvespasiano,Edimar Antonio Da Silva,≤100
100762890036761,Manhanelli Associados,CONSULTA INTELIGENCIA LTDA,≤100
468698729854984,Jornal Andradas Hoje Regional,These ads ran without a disclaimer,≤100
